11;0.170469799;
11;0.166442953;;
11;0.165100671;;
11;0.166442953;;
11;0.167785235;;
11;0.175838926;;
11;0.209395973;;
12;0.24295302;;
12;0.267114094;;
12;0.226845638;;
12;0.216107383;;
13;0.202684564;;
15;0.189261745;;
16;0.182550336;;
16;0.182550336;;
16;0.194630872;;
16;0.2;;
17;0.263087248;;
17;0.273825503;;
17;0.302013423;;
17;0.284563758;;
16;0.205369128;;
15;0.2;;
14;0.185234899;;
